Cluster 1 - Alle Spieler:

             PLAYER_NAME TEAM_ABBREVIATION  AGE   REB_AVG  AST_AVG  TOV_AVG  STL_AVG  BLK_AVG   PF_AVG  PFD_AVG   PTS_AVG  PLUS_MINUS_AVG  HEIGHT  WEIGHT
         Scoot Henderson               POR 21.0  3.000000 5.075758 2.681818 1.030303 0.196970 2.742424 2.757576 12.681818       -0.575758      75   206.0
       Scotty Pippen Jr.               MEM 24.0  3.278481 4.392405 1.746835 1.303797 0.379747 2.569620 2.354430  9.860759        0.556962      73   170.0
          Shaedon Sharpe               POR 22.0  4.500000 2.750000 2.083333 0.861111 0.222222 1.666667 2.625000 18.541667       -1.916667      77   208.0
       Spencer Dinwiddie               DAL 32.0  2.645570 4.417722 1.291139 0.886076 0.215190 1.531646 2.493671 11.037975       -2.810127      77   215.0
          Stephon Castle               SAS 20.0  3.666667 4.098765 2.185185 0.913580 0.271605 2.024691 3.234568 14.691358       -2.950617      78   215.0
          T.J. McConnell               IND 33.0  2.443038 4.443038 1.379747 1.050633 0.265823 1.000000 1.202532  9.113924       -0.708861      73   190.0
              Tari Eason               HOU 24.0  6.350877 1.456140 1.140351 1.701754 0.877193 2.385965 1.333333 12.035088        2.543860      80   215.0
          Taurean Prince               MIL 31.0  3.587500 1.937500 1.025000 0.950000 0.187500 2.062500 0.750000  8.200000       -0.275000      78   218.0
            Terry Rozier               MIA 31.0  3.718750 2.609375 1.218750 0.578125 0.218750 1.140625 1.531250 10.609375       -2.203125      73   190.0
        Tim Hardaway Jr.               DET 33.0  2.376623 1.597403 0.623377 0.493506 0.090909 1.246753 1.961039 10.961039        0.324675      77   205.0
           Tobias Harris               DET 32.0  5.917808 2.219178 1.164384 1.013699 0.780822 1.890411 1.657534 13.726027        2.561644      80   226.0
          Toumani Camara               POR 25.0  5.769231 2.243590 1.397436 1.487179 0.641026 2.948718 2.833333 11.307692       -1.461538      79   229.0
         Trey Murphy III               NOP 25.0  5.056604 3.547170 1.943396 1.056604 0.735849 2.113208 3.509434 21.207547       -7.245283      80   206.0
               Ty Jerome               CLE 27.0  2.471429 3.385714 1.314286 1.114286 0.042857 1.457143 1.771429 12.542857        4.314286      77   195.0
            Tyrese Maxey               PHI 24.0  3.346154 6.096154 2.384615 1.750000 0.403846 2.230769 4.307692 26.326923       -2.384615      74   200.0
              Tyus Jones               PHX 29.0  2.419753 5.296296 1.123457 0.851852 0.098765 0.777778 0.938272 10.234568       -1.135802      73   196.0
          Walker Kessler               UTA 23.0 12.189655 1.672414 1.482759 0.620690 2.379310 2.241379 2.224138 11.051724       -5.672414      84   245.0
      Wendell Carter Jr.               ORL 26.0  7.235294 1.970588 1.132353 0.764706 0.602941 2.926471 2.602941  9.088235       -0.191176      82   270.0
      Zaccharie Risacher               ATL 20.0  3.573333 1.226667 1.226667 0.693333 0.493333 1.986667 1.413333 12.560000       -1.613333      80   200.0
         Ziaire Williams               BKN 23.0  4.555556 1.333333 1.063492 0.984127 0.444444 2.365079 1.841270 10.031746       -5.238095      81   185.0
