Cluster 3 - Alle Spieler:

 AGE  OFF_RATING_Advanced  DEF_RATING_Advanced  NET_RATING_Advanced  E_TOV_PCT_Advanced  EFG_PCT_Advanced  USG_PCT_Advanced  PACE_Advanced  PIE_Advanced  POSS_Advanced  USG_PCT_Usage  PCT_FGM_Usage  PCT_FG3M_Usage  PCT_FTM_Usage  PCT_OREB_Usage  PCT_DREB_Usage  PCT_AST_Usage  PCT_TOV_Usage  PCT_STL_Usage  PCT_BLK_Usage  PCT_PF_Usage  PCT_PFD_Usage  PCT_PTS_2PT_Scoring  PCT_PTS_2PT_MR_Scoring  PCT_PTS_3PT_Scoring  PCT_PTS_FB_Scoring  PCT_PTS_FT_Scoring  OPP_PTS_OFF_TOV_Defense  OPP_PTS_2ND_CHANCE_Defense  OPP_PTS_FB_Defense  OPP_PTS_PAINT_Defense  DEF_WS_Defense  DEF_WS_RAW_Defense
30.0                110.4                103.2                  7.2                 9.2             0.519             0.090          99.58         0.043           1465          0.090          0.089           0.200          0.024           0.114           0.096          0.091          0.083          0.183          0.143         0.161          0.022                0.207                   0.041                0.745               0.097               0.048                      258                         185                 226                    684            4.14            4.139044
32.0                113.5                110.1                  3.4                 8.9             0.626             0.156         102.12         0.104           1963          0.156          0.214           0.105          0.081           0.229           0.212          0.143          0.140          0.267          0.162         0.263          0.101                0.700                   0.005                0.233               0.155               0.067                      330                         274                 258                    914            3.46            3.459575
26.0                114.9                113.3                  1.6                13.7             0.549             0.146          99.95         0.076            995          0.146          0.135           0.149          0.194           0.145           0.198          0.150          0.187          0.217          0.295         0.216          0.221                0.325                   0.048                0.488               0.108               0.187                      171                         133                 124                    462            1.32            1.324391
23.0                117.8                107.3                 10.6                13.1             0.553             0.126          99.78         0.073           1582          0.126          0.124           0.134          0.101           0.295           0.191          0.170          0.199          0.169          0.161         0.273          0.143                0.423                   0.018                0.449               0.119               0.128                      247                         219                 181                    678            3.40            3.395435
26.0                111.8                112.5                 -0.7                12.1             0.500             0.146         100.76         0.062           1356          0.146          0.134           0.133          0.142           0.151           0.136          0.185          0.179          0.270          0.111         0.260          0.157                0.517                   0.068                0.322               0.161               0.161                      254                         198                 209                    690            1.92            1.924817
26.0                109.0                110.7                 -1.6                 7.8             0.517             0.246         101.44         0.128           1936          0.246          0.236           0.378          0.340           0.067           0.159          0.373          0.226          0.170          0.054         0.165          0.278                0.351                   0.060                0.452               0.184               0.197                      297                         268                 287                    932            3.21            3.213521
22.0                108.1                107.6                  0.5                10.3             0.576             0.156         103.86         0.107           1624          0.156          0.186           0.141          0.171           0.303           0.330          0.105          0.132          0.221          0.077         0.258          0.196                0.575                   0.013                0.268               0.144               0.157                      278                         239                 256                    806            3.39            3.386775
22.0                108.3                111.6                 -3.2                13.3             0.527             0.244         102.83         0.069           1943          0.244          0.234           0.344          0.173           0.049           0.130          0.185          0.278          0.181          0.062         0.249          0.178                0.419                   0.065                0.460               0.141               0.121                      375                         271                 287                    968            2.99            2.987487
23.0                110.5                114.6                 -4.1                13.2             0.536             0.256          99.52         0.099           1868          0.256          0.248           0.253          0.299           0.180           0.133          0.252          0.308          0.257          0.115         0.183          0.284                0.481                   0.053                0.358               0.167               0.161                      334                         266                 274                    832            2.08            2.077097
29.0                111.0                104.7                  6.3                 9.3             0.527             0.126         103.16         0.071           1251          0.126          0.137           0.103          0.150           0.246           0.165          0.164          0.124          0.226          0.119         0.322          0.215                0.574                   0.011                0.255               0.085               0.171                      195                         158                 166                    648            3.20            3.198984
